Participant ID,Participant Name,Address,Shareholding,Percentage
"C00058","CHINA CITIC BANK INTERNATIONAL LTD","30/F TWO TAIKOO PLACE TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG",2454888,0.02
"B01610","KGI ASIA LTD","41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG",2367264,0.02
"B01695","DAH SING SECURITIES LTD","SUITE 1910 19/F ISLAND PLACE TOWER 510 KING'S ROAD NORTH POINT HONG KONG",2339939,0.02
"C00041","OCBC BANK (HONG KONG) LTD","1/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG",2306893,0.02
"B01272","FB SECURITIES (HONG KONG) LTD","ROOM 2501-04 25/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",2299950,0.02
"C00036","CHINA CONSTRUCTION BANK (ASIA)","20/F CCB CENTRE 18 WANG CHIU ROAD KOWLOON BAY KOWLOON",2267157,0.02
"C00026","CHONG HING BANK LTD","LEVEL 25 TOWER 2 ENTERPRISE SQUARE FIVE (MEGABOX) 38 WANG CHIU ROAD KOWLOON BAY KOWLOON",2258138,0.02
"B01825","GUOYUAN SECURITIES BROKERAGE (HONG KONG)","17/F THREE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",2147300,0.02
"B01138","CLSA LTD","18/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",2059040,0.02
"C00002","BANK OF COMMUNICATIONS TRUSTEE LTD","16/F COS CENTRE 56 TSUN YIP STREET KWUN TONG KOWLOON",1999267,0.02
"C00111","SOCIETE GENERALE","38/F THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",1996270,0.02
"B01143","HAITONG INTERNATIONAL SECURITIES CO LTD","22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG",1914749,0.02
"B01668","BRIGHT SMART SECURITIES INTERNATIONAL","10/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",1880641,0.02
"B01829","HUATAI FINANCIAL HOLDINGS (HONG KONG)","62/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG",1729824,0.01
"B01826","GF SECURITIES (HONG KONG) BROKERAGE LTD","27/F GF TOWER 81 LOCKHART ROAD WAN CHAI HONG KONG",1648566,0.01
"B01938","CHINA INDUSTRIAL SECURITIES","32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",1628377,0.01
