Participant ID,Participant Name,Address,Shareholding,Percentage
"B02021","NEW HARVEST WEALTH SECURITIES COMPANY","32/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG",31310,0
"B01511","TAT LEE SECURITIES CO LTD","RM 1801-1806 PRESIDENT COMMERCIAL CENTRE 608 NATHAN ROAD MONGKOK KOWLOON",30000,0
"B01785","PARTNERS CAPITAL SECURITIES LTD","UNIT 4911-12 49/F THE CENTRE 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",29700,0
"B01949","GRAND CHINA SECURITIES LTD","RM 503 5/F LOKE YEW 50-52 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",29500,0
"B01948","CAITONG INTERNATIONAL SECURITIES CO LTD","RM 2401-2405 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG",29200,0
"B01941","CENTALINE SECURITIES LTD","SUITES 805-806 8/F SOUTH TOWER WORLD FINANCE CENTRE HARBOUR CITY 17-19 CANTON ROAD TSIMSHATSUI KOWLOON",29074,0
"B01439","TAI TAK SECURITIES (ASIA) LTD","707A WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG",28300,0
"B01267","WINFULL SECURITIES LTD","RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG",28200,0
"B01450","DL BROKERAGE LTD","1/F WING'S BLDG 110-116 QUEEN'S ROAD CENTRAL HONG KONG",27400,0
"B01853","CMBC SECURITIES CO LTD","45/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",27200,0
"B01978","FOUNDER SECURITIES (HONG KONG) LTD","ROOM 801-02 8/F SHANGHAI INDUSTRIAL INVESTMENT BUILDING 48-62 HENNESSY ROAD WAN CHAI HONG KONG",25600,0
"B01158","SOLID KING SECURITIES LTD","UNITS 1205-6 12/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG",25500,0
"B02156","LINKWAYS INVESTMENT MANAGEMENT LTD","ROOM 702 7/F DINA HOUSE 3-11 DUDDELL STREET CENTRAL HONG KONG",25499,0
"B01782","SEAGA INTERNATIONAL LTD","3/F MONARCH HOUSE II 501-503 HENNESSY ROAD CAUSEWAY BAY HONG KONG",25100,0
"B01809","CHINA SYSTEM SECURITIES LTD","ROOM 1201-02 12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG",24900,0
"B01580","OSHIDORI SECURITIES LTD","25/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG",24600,0
"B01253","STOCKWELL SECURITIES LTD","UNITS 406-410 4/F TOWER 2 SILVERCORD 30 CANTON ROAD TSIM SHA TSUI KOWLOON",24440,0
"B01645","SELINA & CO LTD","SUITE 2401 CHINACHEM EXCHANGE SQUARE 1 HOI WAN STREET QUARRY BAY HONG KONG",23800,0
"B01986","HUAJIN SECURITIES (INTERNATIONAL) LTD","SUITE 1101-1106 11/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG",23000,0
"B01213","MONEYMORE SECURITIES LTD","6TH FLOOR MALAHON CENTRE 8-12 STANLEY STREET CENTRAL HONG KONG",21900,0
"B01173","RIFA SECURITIES LTD","LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG",21800,0
"B01793","ASIA PACIFIC CAPITAL SECURITIES LTD","ROOM 509 5/F STAG BUILDING 148-150 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",21800,0
"B01458","YICKO SECURITIES LTD","19TH FLOOR TUNG NING BUILDING 125-7 CONNAUGHT ROAD CENTRAL HONG KONG",21330,0
"B01925","BMI SECURITIES LTD","SUITES 2701-2708 27/F SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG",21200,0
"B01523","EVER-LONG SECURITIES CO LTD","ROOMS 301-303 3/F 12 TAIKOO WAN ROAD TAIKOO SHING QUARRY BAY HONG KONG",20900,0
"B01909","SHENG YUAN SECURITIES LTD","UNITS 3208-9 32/F GRAND MILLENNIUM PLAZA COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",20600,0
"B01592","PLATINUM BROKING CO LTD","21/F LHT TOWER 31 QUEEN'S ROAD CENTRAL HONG KONG",20300,0
"B01540","UPBEST SECURITIES CO LTD","2/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX ROAD CENTRAL HONG KONG",20000,0
"B01666","GLORY SUN SECURITIES LTD","ROOM 2307-09 23/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WAN CHAI HONG KONG",19600,0
"B01714","HEAD & SHOULDERS SECURITIES LTD","28/F QUEEN'S ROAD CENTRE 152 QUEEN'S ROAD CENTRAL HONG KONG",19600,0
"B01676","TAI SHING STOCK INVESTMENT CO LTD","ROOM 801-804 HALESON BUILDING 1 JUBILEE STREET CENTRAL HONG KONG",19175,0
"B02030","SR WEALTH SECURITIES LTD","UNIT 1305 13/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",18700,0
"B01546","WO FUNG SECURITIES CO LTD","2/F SIU YING COMM BLDG 151-155 QUEEN'S ROAD CENTRAL HONG KONG",18100,0
"B01433","HING WAI ALLIED SECURITIES LTD","RM 2902-2903 118 CONNAUGHT ROAD WEST HONG KONG",17800,0
"B01494","AUDREY CHOW SECURITIES LTD","6/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG",17300,0
"B02099","DA INTERNATIONAL FINANCIAL SERVICE LTD","RM 4704-06 47/F HOPEWELL CENTRE 183 QUEEN'S ROAD EAST WAN CHAI HONG KONG",16500,0
"B01958","TOPAZ FINANCIAL GROUP LTD","ROOMS 2709-12 27/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",16400,0
"B02177","ZHESHANG INTERNATIONAL FINANCIAL","ROOM 1703-06 17/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",16300,0
"B01886","CNI SECURITIES GROUP LTD","UNIT A 26/F TIMES MEDIA CENTRE 133 WANCHAI ROAD WANCHAI HONG KONG",16100,0
"B01292","ALPHA SECURITIES CO LTD","RM 3702A 37/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG",15800,0
"B02181","GRAND CAPITAL SECURITIES LTD","21/F SILVER FORTUNE PLAZA 1 WELLINGTON STREET CENTRAL HONG KONG",15800,0
"B01971","HGNH INTERNATIONAL SECURITIES CO LTD","17/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG",15500,0
"B01271","HANG TAI SECURITIES LTD","ROOM 2105A 21/F K.WAH CENTRE 191 JAVA ROAD NORTH POINT HONG KONG",15200,0
"B01577","YF SECURITIES CO LTD","11/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG",15100,0
"B02035","PRIME CHINA SECURITIES LTD","RM B & C 31/F BLOCK B BILLION CENTRE 1 WANG KWONG ROAD KOWLOON",14800,0
"B01700","REALINK FINANCIAL TRADE LTD","UNIT 710-715 7/F MILLENNIUM CITY 2 378 KWUN TONG ROAD KOWLOON",14656,0
"B01401","MEGABASE SECURITIES LTD","RM 608-609 6/F ONE ISLAND SOUTH 2 HEUNG YIP ROAD HONG KONG",14100,0
"B01936","MIGHTY BROKERAGE (ASIA) LTD","SHOP 68-70 MANOR CENTRE 218 FUK WING STREET CHEUNG SHA WAN KOWLOON",14000,0
"B01964","HALCYON SECURITIES LTD","RM 3401 34/F HOPEWELL CENTRE 183 QUEEN'S ROAD EAST WANCHAI HONG KONG",14000,0
"B01510","ORIENTAL PATRON SECURITIES LTD","SUITES 4004 40/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",13600,0
"B01653","WAI MAN STOCK & SHARES CO LTD","RM 2 2/F LAI KWAN COURT 438 CASTLE PEAK ROAD CHEUNG SHA WAN KOWLOON",13300,0
"B01340","LEHIN SECURITIES LTD","UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",12533,0
"B01350","S. W. WOO & CO LTD","RM 1803 YUE SHING COMM BLDG 15 QUEEN VICTORIA ST CENTRAL HONG KONG",12100,0
"B01509","UNICORN SECURITIES CO LTD","RM 502 GENERAL COMMERCIAL BUILDING 156-164 DES VOEUX ROAD CENTRAL HONG KONG",11900,0
"B01993","CROSBY SECURITIES LTD","23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG",11850,0
"B02091","STAR RIVER SECURITIES LTD","ROOM 2402 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",11700,0
"B01990","GRANDLY FINANCIAL SERVICES LTD","RM 1403 14/F YUE XIU BUILDING 160-174 LOCKHART ROAD WANCHAI HONG KONG",11600,0
"B01684","WANG ON SECURITIES LTD","UNIT 3904-06 39/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",11100,0
"B02106","HOLLY INTERNATIONAL FINANCIAL HOLDINGS","FLAT/RM 03-5 20/F JUBILEE CENTRE 46 GLOUCESTER ROAD WANCHAI HONG KONG",11000,0
"B01343","CELETIO INVESTMENTS LTD","ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG",10700,0
"B02003","DONGXING SECURITIES (HONG KONG) CO LTD","UNIT NOS 7503B-7504 75/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",10400,0
"B01290","SPS SECURITIES LTD","2/F PINNACLE BUILDING 9 SHIP STREET WANCHAI HONG KONG",10180,0
"B01788","SUNRISE SECURITIES LTD","RM 701-702 YUE SHING COMMERCIAL BUILDING 15 QUEEN VICTORIA STREET CENTRAL HONG KONG",10000,0
"B01483","BULLISH SECURITIES LTD","RM B 7/F HILLIER COMMERCIAL BUILDING 89 WING LOK ST EAST CENTRAL HONG KONG",9600,0
"B01705","HENIK SECURITIES LTD","UNIT 901 9/F WORKINGTON TOWER 78 BONHAM STRAND SHEUNG WAN HONG KONG",9600,0
"B01341","TUNG TAI SECURITIES CO LTD","ROOM 2501 25/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG",9500,0
"B02214","WINBULL SECURITIES INTERNATIONAL (HONG","ROOMS 2202-3 22/F JUBILEE CENTRE 18 FENWICK STREET WAN CHAI HONG KONG",9300,0
"B01981","BLUESTONE SECURITIES (HK) CO LTD","ROOM 1701-2 17TH FLOOR STAR HOUSE NO3 SALISBURY ROAD TSIM SHA TSUI KOWLOON",9200,0
"B01469","KAISER SECURITIES LTD","3102-05 SHUN TAK WEST TOWER 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",9000,0
"B01998","CHINA SUNRISE SECURITIES (INTL) LTD","UNIT 1501 & 1503 15/F YF LIFE CENTRE 38 GLOUCESTER ROAD WAN CHAI HONG KONG",9000,0
"B01416","VC BROKERAGE LTD","6/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG",8900,0
"B01615","KAM FAI SECURITIES CO LTD","21/F CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL HONG KONG",8700,0
"B01563","XINKONG INTERNATIONAL SECURITIES LTD","15/F EAST WING CHINA HUARONG TOWER 60 GLOUCESTER ROAD WAN CHAI HONG KONG",8400,0
"B01481","NEW REGION SECURITIES CO LTD","2907-2909,2912,2914 WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",8117,0
"B01447","BETA INTERNATIONAL SECURITIES LIMITED","ROOM 3326 33/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT RD CENTRAL SHEUNG WAN HONG KONG",8100,0
"B01863","WESTOCK SECURITIES INTERNATIONAL (HK)","FLAT 9-10A 10/F WING TUCK COMMERCIAL CENTRE 177-183 WING LOK STREET SHEUNG WAN HONG KONG",7900,0
"C00099","TAISHIN INTERNATIONAL BANK CO., LTD","6/F SUN LIFE TOWER THE GATEWAY 15 CANTON ROAD TSIMSHATSUI KOWLOON",7822,0
"B01427","TSE'S SECURITIES LTD","ROOM 910-911 9/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",7500,0
"B02028","SORRENTO SECURITIES LTD","ROOM 1208 12/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",7500,0
"B01240","TSUN CHI YUEN SECURITIES CO LTD","20/F MAN ON COMM BLDG 12 JUBILEE ST CENTRAL HONG KONG",7443,0
"B02093","UPMAX SECURITIES LTD","RM 1717 CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",7421,0
"B01386","SBI CHINA CAPITAL FINANCIAL SERVICES LTD","4/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG",7300,0
"B01724","RAMON INVESTMENT CO LTD","RM 201-5 2/F KOWLOON CENTRE 29-39 ASHLEY ROAD KOWLOON",7300,0
"B02075","INNOVAX SECURITIES LTD","UNIT A-C 20/F NEICH TOWER 128 GLOUCESTER ROAD WANCHAI HONG KONG",6800,0
"B01505","SHACOM SECURITIES LTD","RM 303 HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON",6700,0
"B01741","SINOMAX SECURITIES LTD","28/F SHUN FENG INTERNATIONAL CENTRE NO.182 QUEEN'S ROAD EAST WAN CHAI HONG KONG",6600,0
"B02052","SUNHIGH FINANCIAL HOLDINGS LTD","UNIT 2107 21/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",6500,0
"B01294","CS WEALTH SECURITIES LTD","RM 3206 32/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG",6400,0
"B01685","ARK SECURITIES (HONG KONG) LTD","ROOM 1901 19/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WAN CHAI HONG KONG",6300,0
"B01277","BRADBURY SECURITIES LTD","SUITES 3606-08 36/F 8 FINANCE STREET TWO INTERNATIONAL FINANCE CENTRE CENTRAL HONG KONG",6100,0
"B01320","LUEN FAT SECURITIES CO LTD","UNITS 603-605 6/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",6100,0
"B02070","UZEN SECURITIES LTD","8/F EC HEALTHCARE TOWER (CENTRAL) 19-20 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",6000,0
"B02116","MOUETTE SECURITIES CO LTD","ROOM 4024-4033 40/F SUN HUNG KAI CENTRE 30 HARBOUR ROAD WANCHAI HONG KONG",5900,0
"B02023","DONGHAI INTERNATIONAL SECURITIES","20/F SHANGHAI COMMERCIAL BANK TOWER 12 QUEEN'S ROAD CENTRAL HONG KONG",5800,0
"B01769","ONE CHINA SECURITIES LTD","2/F CHEONG K. BUILDING 84-86 DES VOEUX ROAD CENTRAL HONG KONG",5439,0
"B01444","YUEXING SECURITIES COMPANY LTD","9/F THE WORKSTATION 43 LYNDHURST TERRACE CENTRAL HONG KONG",5400,0
"B01680","SUCCESS SECURITIES LTD","UNITS 1001A & 04B 10/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD HONG KONG",5300,0
"B01141","FE SECURITIES LTD","ROOM 2101 21/F 28 HENNESSY ROAD HONG KONG",5200,0
"B02167","SDG SECURITIES (HK) LTD","ROOMS 4003-05 40/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WAN CHAI HONG KONG",5200,0
"B01982","CENTRAL CHINA INTERNATIONAL SECURITIES","ROOM 1304 13/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG",5080,0
"B01677","ANUENUE SECURITIES LTD","28/F GUANGDONG TOURS CENTER 18 PENNINGTON STREET CAUSEWAY BAY HONG KONG",5000,0
"B01919","TIGER SECURITIES ASSET MANAGEMENT CO LTD","RM B3 29/F TML TOWER 3 HOI SHING ROAD TSUEN WAN NEW TERRITORIES",4900,0
"B01976","FRONTIER CAPITAL MANAGEMENT LTD","UNITS 3201-3203 32/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG",4900,0
"B02125","CHINA YINSHENG INTERNATIONAL SECURITIES","6/F 9 DES VOEUX ROAD WEST SHEUNG WAN HONG KONG",4900,0
"B01868","JIMEI SECURITIES LTD","RM 1305-1306 13/F JUBILEE CENTRE 18 FENWICK STREET / 46 GLOUCESTER ROAD WANCHAI HONG KONG",4800,0
"B01912","THE CORE SECURITIES COMPANY LTD","SUITE C 20/F STANDARD CHARTERED BANK BUILDING 4-4A DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",4400,0
"B01974","ARISTO SECURITIES LTD","ROOM B 11/F GOLDEN STAR BUILDING 22 LOCKHART ROAD WANCHAI HONG KONG",4305,0
"B01906","IMPERIUM INTERNATIONAL SECURITIES LTD","RM 2603A 26/F ONE HARBOUR SQUARE 181 HOI BUN ROAD KWUN TONG KOWLOON",4300,0
"B02073","SOLOMON JFZ (ASIA) HOLDINGS LTD","ROOM 1910-1912A TOWER 3 CHINA HONG KONG CITY 33 CANTON ROAD TSIM SHA TSUI KOWLOON",4300,0
"B02185","KOREA INVESTMENT & SECURITIES ASIA LTD","SUITES 3716-3719 JARDINE HOUSE 1 CONNAUGHT PLACE CENTRAL HONG KONG",4300,0
"B01789","HO FUNG SHARES INVESTMENT LTD","OFFICE B 11/F HING LUNG COMMERCIAL BUILDING 68 BONHAM STRAND EAST SHEUNG WAN HONG KONG",4249,0
"B01995","GARY CHENG SECURITIES LTD","ROOM 1201 12/F ELITE CENTRE 22 HUNG TO ROAD KWUN TONG KOWLOON",4200,0
"B01525","KEE CHEONG SECURITIES CO LTD","ROOM 2002 20/F WIN CENTURY CENTRE 2A MONGKOK ROAD MONGKOK KOWLOON",4100,0
"B01660","GRANSING SECURITIES CO., LIMITED","UNIT 802 8/F WORLD-WIDE HOUSE 19 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",4100,0
"B01918","REALORD ASIA PACIFIC SECURITIES LTD","SUITE 2402 24/F JARDINE HOUSE 1 CONNAUGHT PLACE CENTRAL HONG KONG",4100,0
"C00108","CHINA MINSHENG BANKING CORP., LTD.","FLAT 3701-3702, 3712-3716 & 40/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG",4100,0
"B02065","FORTUNE ORIGIN SECURITIES LTD","ROOM 404-405 NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",3800,0
"B01080","VMS SECURITIES LTD","28/F VIVA PLACE 36 HEUNG YIP ROAD WONG CHUK HANG HONG KONG",3700,0
"B01694","MINERVA HOLDING FINANCIAL SECURITIES LTD","UNIT 1804C 18/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD HONG KONG",3700,0
"B02212","HUAAN SECURITIES (HONG KONG) BROKERAGE","8/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG",3700,0
"B02020","WEALTH LINK SECURITIES LTD","SUITE 1008A 10/F OCEAN CENTRE HARBOUR CITY 5 CANTON ROAD TSIM SHA TSUI KOWLOON",3400,0
"B01608","OPEN SECURITIES LTD","ROOM 08-09 32/F TOWER 6 THE GATEWAY 9 CANTON ROAD TSIM SHA TSUI KOWLOON",3300,0
"B02046","CHINA ZHONG HENG FINANCE GROUP LTD","UNIT 05 9/F BEVERLY HOUSE 93-107 LOCKHART ROAD WAN CHAI HONG KONG",3200,0
"B01754","ASIA PACIFIC SECURITIES LTD","16/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG",3100,0
"B02081","FIRST FIDELITY CAPITAL (INTERNATIONAL)","36/F TIMES TOWER 393 JAFFE ROAD WANCHAI HONG KONG",3000,0
"B02128","SILVERBRICKS SECURITIES CO LTD","ROOM 1601-07 16/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",3000,0
"B01665","WINSOME STOCK CO LTD","TOP FLOOR WING SHUN BUILDING 64-66 BONHAM STRAND WEST HONG KONG",2900,0
"B01824","INSTINET PACIFIC LTD","31/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG",2900,0
"B02061","GRAND PARTNERS SECURITIES LTD","ROOM 3402 34/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG",2800,0
"B01248","KWAN YICK SECURITIES (INTERNATIONAL) LTD","FLAT B, C & E 3/F HO LEE COMMERCIAL BUILDING 38-44 D'AGUILAR STREET CENTRAL HONG KONG",2700,0
"B01716","ORIENT SECURITIES LTD","RM 2204 22/F NEW WORLD TOWER 1 16-18 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",2700,0
"B01784","FU YIP SECURITIES AND INVESTMENT CO LTD","UNIT 6A01 6/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX RD CENTRAL SHEUNG WAN HONG KONG",2600,0
"B01927","KINGKEY SECURITIES GROUP LTD","13/F NO.88 LOCKHART ROAD WANCHAI HONG KONG",2600,0
"B02134","HOPE SECURITIES LTD","ROOM 2805 28/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG",2600,0
"B01389","ZHONGRONG PT SECURITIES LTD","ROOM 3505-10 35/F TOWER 5 THE GATEWAY 15 CANTON ROAD TSIM SHA TSUI KOWLOON",2500,0
"B01756","CHINA SKY SECURITIES LTD","UNIT 2302-03 23/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG",2400,0
"B02067","LIGHTHOUSE CAPITAL (HK) FINANCIAL LTD","UNITS 1801-2 18/F HOLLYWOOD CENTRE 233 HOLLYWOOD ROAD SHEUNG WAN HONG KONG",2400,0
"B01751","IMAGI BROKERAGE LTD","SUITE 2210-11 22/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG",2200,0
"B01910","FTFT INTERNATIONAL SECURITIES AND","UNITS 02B-03A 23/F SINO PLAZA 256-257 GLOUCESTER ROAD CAUSEWAY BAY HONG KONG",2200,0
"B02153","WE SECURITIES LTD","26/F OVEST 77 WING LOK STREET SHEUNG WAN HONG KONG",2200,0
"B01852","ARTA GLOBAL MARKETS LTD","UNIT 901-02 9/F K11 ATELIER KING'S ROAD 728 KING'S ROAD QUARRY BAY HONG KONG",2105,0
"B01743","CEPA ALLIANCE SECURITIES LTD","FLAT B 7/F 208 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",2100,0
"B02138","TIGER FAITH SECURITIES LTD","ROOM 3505 35/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG",2100,0
"B01538","MORTON SECURITIES LTD","RM 1804-1805 18/F ALLIED KAJIMA BUILDING 138 GLOUCESTER ROAD WANCHAI HONG KONG",2000,0
"B01661","HERMES SECURITIES LTD","ROOM 2117 CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",2000,0
"B01759","WINLAND WEALTH MANAGEMENT LTD","RM 1901 SOUTH CHINA BUILDING 3 WYNDHAM STREET CENTRAL HONG KONG",2000,0
"B02060","LEGO SECURITIES LTD","ROOM 1506 15/F WHEELOCK HOUSE 20 PEDDER STREET CENTRAL HONG KONG",2000,0
"B02158","DT SECURITIES & FUTURES CO. LTD","RM 2312 23/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",2000,0
"B02193","PATRONS SECURITIES LTD","UNIT 3214 32/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",2000,0
"B01310","TUNG TAK SECURITIES (H.K.) CO LTD","G/F 169 TAI NAM ST SHAMSHUIPO KOWLOON",1900,0
"B01571","KARFORD SECURITIES LTD","FLAT D 7/F MAN LOK BUILDING 89-93 BONHAM STRAND EAST HONG KONG",1900,0
"B02019","GEO SECURITIES LTD","24/F STANDARD CHARTERED BANK BUILDING 4-4A DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",1900,0
"B02014","YUET SHEUNG INTERNATIONAL SECURITIES LTD","ROOM 2704 WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",1800,0
"B02016","GOLDHORSE SECURITIES LTD","UNIT 4308 43/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",1800,0
"B02068","CANFIELD SECURITIES CO LTD","ROOM 2202 22/F FAR EAST FINANCE CENTER 16 HARCOURT ROAD HONG KONG",1800,0
"B02180","PLUTUS SECURITIES LTD","8/F 80 GLOUCESTER ROAD WANCHAI HONG KONG",1800,0
"B02221","AACAT FINTECH LTD","ROOMS 1901-02 19/F AXA TOWER LANDMARK EAST 100 HOW MING STREET KWUN TONG KOWLOON",1800,0
"B01664","ROOFER SECURITIES LTD","UNIT 25B01 25/F FAR EAST FINANCE CENTER 16 HARCOURT ROAD ADMIRATLY HONG KONG",1700,0
"B01857","KAISA FINANCIAL GROUP CO LTD","30/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",1700,0
"B02087","GLOBAL MASTERMIND SECURITIES LTD","UNIT 1203 12/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",1700,0
"B02179","YAW KAI FINANCIAL GROUP LTD","UNIT 1605B-1606A 16/F TOWER A MANULIFE FINANCIAL CENTRE 223-231 WAI YIP STREET KWUN TONG KOWLOON",1600,0
"B01328","BAN HIN SECURITIES CO LTD","RM 901-2 LANSING HSE 41-47 QUEEN'S RD C CENTRAL HONG KONG",1500,0
"B01767","NEW GALA SECURITIES CO LTD","RM 1106 REGENT CENTRE 88 QUEEN'S ROAD CENTRAL HONG KONG",1500,0
"B01783","FREDDY CO LTD","RM 2102 21/F MELBOURNE PLAZA 33 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",1500,0
"B02085","JOY RICH SECURITIES INVESTMENT LTD","UNIT 16 22/F SEAPOWER TOWER CONCORDIA PLAZA 1 SCIENCE MUSEUM ROAD KOWLOON",1500,0
"B02096","AFG SECURITIES LTD","RM B 17/F FORTUNE HOUSE 61 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",1500,0
"B01231","WINNER INTERNATIONAL SECURITIES LTD","10/F LEE KUM KEE CENTRAL 54-58 DES VOEUX ROAD CENTRAL HONG KONG",1400,0
"B01935","MAGIC COMPASS SECURITIES LTD","UNIT 905 9/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG",1400,0
"B02004","INNOVATION SECURITIES CO LTD","SUITE 709A ONE PACIFIC PLACE 88 QUEENSWAY ADMIRALTY HONG KONG",1400,0
"B01988","KOALA SECURITIES LTD","UNITS 1301-1302 13/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG",1300,0
"B01921","GONG PING SECURITIES LTD","UNIT D 8/F TOWER B BILLION CENTRE 1 WANG KWONG ROAD KOWLOON BAY KOWLOON",1200,0
"B02045","AAA SECURITIES CO. LTD","SUITE 2202 22/F FU FAI COMMERCIAL CENTRE 27 HILLIER STREET SHEUNG WAN HONG KONG",1200,0
"B01755","T G SECURITIES LTD","SUITE 1409, 14/F, NORTH TOWER WORLD FINANCE CENTRE 19 CANTON ROAD, TST KOWLOON",1159,0
"B02027","LEADING SECURITIES COMPANY LTD","8/F PROSPERITY TOWER 39 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",1100,0
