Date,Stock Code,Stock Name,Participant ID,Participant Name,Address,Shareholding,Percentage,Scraped At
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01228,"CITIC SECURITIES BROKERAGE (HK) LTD","26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG",6974860,0.07,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00003,"THE BANK OF EAST ASIA LTD","35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON",5910940,0.06,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00088,"CHINA MERCHANTS BANK CO LTD","28/F THREE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",5339114,0.05,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01148,"CHINA MERCHANTS SECURITIES (HK) CO LTD","48/F ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG",5245795,0.05,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01353,"UOB KAY HIAN (HONG KONG) LTD","6/F HARCOURT HOUSE 39 GLOUCESTER ROAD HONG KONG",4786238,0.05,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01345,"PHILLIP SECURITIES (HONG KONG) LTD","11/F UNITED CENTRE 95 QUEENSWAY HONG KONG",3931091,0.04,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01089,"HSBC BROKING SECURITIES (HONG KONG) LTD","LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG",3900254,0.04,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02142,"TIGER BROKERS (HK) GLOBAL LTD","23/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",3499418,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01086,"EVERBRIGHT SECURITIES INVESTMENT","28/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG",3486915,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01413,"CORE PACIFIC - YAMAICHI INTERNATIONAL","ROOMS 1101-05 & 09-10 11/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD, WANCHAI HONG KONG",3281473,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01654,"CHINA INTERNATIONAL CAPITAL CORPORATION","29/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG",3195696,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00037,"SHANGHAI COMMERCIAL BANK LTD","C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES",3192498,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01686,"FIRST SHANGHAI SECURITIES LTD","19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG",3080900,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01762,"DBS VICKERS (HONG KONG) LTD","16/F ONE ISLAND EAST 18 WESTLANDS ROAD ISLAND EAST HONG KONG",3049500,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00028,"NANYANG COMMERCIAL BANK LTD","30/F NCB INNOVATION CENTRE 888 LAI CHI KOK ROAD CHEUNG SHA WAN KOWLOON",2906226,0.03,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01727,"ICBC (ASIA) SECURITIES LTD","2/F ONE HARBOURFRONT 18-22 TAK FUNG ST HUNG HOM KOWLOON",2619636,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00058,"CHINA CITIC BANK INTERNATIONAL LTD","30/F TWO TAIKOO PLACE TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG",2462488,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01610,"KGI ASIA LTD","41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG",2373664,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01695,"DAH SING SECURITIES LTD","SUITE 1910 19/F ISLAND PLACE TOWER 510 KING'S ROAD NORTH POINT HONG KONG",2353039,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01272,"FB SECURITIES (HONG KONG) LTD","ROOM 2501-04 25/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",2307250,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00041,"OCBC BANK (HONG KONG) LTD","1/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG",2306893,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00036,"CHINA CONSTRUCTION BANK (ASIA)","20/F CCB CENTRE 18 WANG CHIU ROAD KOWLOON BAY KOWLOON",2271757,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00026,"CHONG HING BANK LTD","LEVEL 25 TOWER 2 ENTERPRISE SQUARE FIVE (MEGABOX) 38 WANG CHIU ROAD KOWLOON BAY KOWLOON",2258138,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01825,"GUOYUAN SECURITIES BROKERAGE (HONG KONG)","17/F THREE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",2144500,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01138,"CLSA LTD","18/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",2134444,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00002,"BANK OF COMMUNICATIONS TRUSTEE LTD","16/F COS CENTRE 56 TSUN YIP STREET KWUN TONG KOWLOON",2011967,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00111,"SOCIETE GENERALE","38/F THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",1986169,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01143,"HAITONG INTERNATIONAL SECURITIES CO LTD","22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG",1922749,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01668,"BRIGHT SMART SECURITIES INTERNATIONAL","10/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",1852941,0.02,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01829,"HUATAI FINANCIAL HOLDINGS (HONG KONG)","62/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG",1747657,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01826,"GF SECURITIES (HONG KONG) BROKERAGE LTD","27/F GF TOWER 81 LOCKHART ROAD WAN CHAI HONG KONG",1647366,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01938,"CHINA INDUSTRIAL SECURITIES","32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",1627677,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00095,"EFG BANK AG","18/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",1559934,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01581,"KINGSWAY FINANCIAL SERVICES GROUP LTD","7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG",1529932,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01256,"SINOLINK SECURITIES (HONG KONG) CO LTD","UNIT 3501-08 35/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",1490000,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01497,"SINOPAC SECURITIES (ASIA) LTD","7/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG",1340666,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01347,"CGS INTERNATIONAL SECURITIES HK LTD","UNIT 2808B-2811 28/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",1311738,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01118,"EAST ASIA SECURITIES CO LTD","C/O BEA SETTLEMENT OPERATIONS DEPT-IOS 35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KOWLOON",1281429,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01264,"MIB SECURITIES (HONG KONG) LTD","28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG",1269439,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01842,"BOCOM INTERNATIONAL SECURITIES LTD","11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG",1268522,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02195,"LONG BRIDGE HK LTD","SUITES 1801-1804 & 1815-1816 18TH FLOOR ONE INTERNATIONAL FINANCE CENTRE NO.1 HARBOUR VIEW STREET HONG KONG",1203263,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01115,"SHENWAN HONGYUAN SECURITIES (H.K.) LTD","LEVEL 19 28 HENNESSY ROAD HONG KONG",1177326,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01338,"EMPEROR SECURITIES LTD","23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG",1154991,0.01,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01584,"CHIEF SECURITIES LTD","5/F WORLD-WIDE HOUSE 19 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",908133,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01890,"GUOSEN SECURITIES (HK) BROKERAGE CO LTD","SUITES 3207-3212 32/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",898116,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01885,"HAFOO SECURITIES LTD","UNIT 3203 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG",832917,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01777,"DAIWA CAPITAL MARKETS HONG KONG LTD","LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",822450,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02132,"BOOM SECURITIES (H.K.) LTD","ROOM 2801 28/F TOWER 1 THE MILLENNITY 98 HOW MING STREET KWUN TONG KOWLOON",796481,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01929,"CHINA GALAXY INTERNATIONAL SECURITIES","20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",793902,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01904,"VALUABLE CAPITAL LTD","ROOM 3606 36/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",792759,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02176,"PING AN SECURITIES (HONG KONG) CO LTD","UNITS 3601, 07 & 11-13 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG",764011,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01900,"ORIENT SECURITIES (HONG KONG) LTD","28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG",756698,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01459,"IFAST SECURITIES (HK) LTD","SUITES 701-702, 706-713 TOWER 5 THE GATEWAY TSIM SHA TSUI KOWLOON",660639,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01773,"TOYO SECURITIES ASIA LTD","SUITES 2301-02 & 16 23/FL CITY PLAZA ONE 1111 KING'S ROAD TAIKOO SHING HONG KONG",645100,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01905,"SDICS INTERNATIONAL SECURITIES (HONG","39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG",637310,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01183,"CHONG HING SECURITIES LTD","2/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG",634892,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02042,"MONMONKEY GROUP SECURITIES LTD","UNIT 2418 24/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL HONG KONG",618805,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00048,"CHIYU BANKING CORPORATION LTD","23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON KOWLOON",617420,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01962,"CHINA SECURITIES (INTERNATIONAL)","18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",543032,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01858,"YUANTA SECURITIES (HONG KONG) CO LTD","23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG",509766,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01866,"ICBC INTERNATIONAL SECURITIES LTD","37/F ICBC TOWER 3 GARDEN ROAD HONG KONG",503500,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01813,"CCB INTERNATIONAL SECURITIES LTD","12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",485325,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01849,"CIS SECURITIES ASSET MANAGEMENT LTD","21/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG",454602,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01284,"HANG SENG SECURITIES LTD","HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON",376500,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01959,"ZHONGTAI INTERNATIONAL SECURITIES LTD","7/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG",364003,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02192,"HUAFU INTERNATIONAL SECURITIES LTD","UNITS 2603-04 26/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG",321700,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01623,"TAI FUNG KUENTAI SECURITIES CO LTD","RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG",320400,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01939,"SOOCHOW SECURITIES INTERNATIONAL","LEVEL 17 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",294830,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01832,"MIZUHO SECURITIES ASIA LTD","14/F-15/F K11 ATELIER 18 SALISBURY ROAD TSIM SHA TSUI KOWLOON",268440,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02159,"USMART SECURITIES LTD","UNIT 2606-07 26/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG",239250,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B02120,"LIVERMORE HOLDINGS LTD","UNIT 1214A 12/F TOWER II CHEUNG SHA WAN PLAZA 833 CHEUNG SHA WAN ROAD KOWLOON",235801,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01830,"MIRAE ASSET SECURITIES (HK) LTD","SUITE 8501,8507-8508 85/F ICC KOWLOON",223101,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",C00107,"INDUSTRIAL BANK CO., LTD.","12/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG",211965,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01555,"ABN AMRO CLEARING HONG KONG LTD","SUITE 2407-2409 LEVEL 24 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",207206,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01947,"FUBON SECURITIES (HONG KONG) LTD","UNIT 1002 10/F HONG KONG LI-NING BUILDING 218 ELECTRIC ROAD NORTH POINT HONG KONG",206859,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01564,"ABCI SECURITIES CO LTD","13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG",193300,0.00,2025-11-12T10:19:25.016Z
2025/11/08,00700,"TENCENT HOLDINGS LIMITED -HKD TRADED SHARES",B01129,"WOCOM SECURITIES LTD","RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",191074,0.00,2025-11-12T10:19:25.016Z
